Development_Status_Origin,Use,Region_Destination,Development_Status_Destination,Value
Unknown,Adaptation,Sub-Saharan Africa,LDC,0.00023
China,Adaptation,Sub-Saharan Africa,LDC,0.00011
LDC,Adaptation,East Asia & Pacific,EMDE,0
EMDE,Adaptation,Central Asia & Eastern Europe,EMDE,0.03495
EMDE,Adaptation,Latin America & Caribbean,EMDE,0.00017
EMDE,Adaptation,South Asia,EMDE,0.00004
LDC,Mitigation,Sub-Saharan Africa,LDC,0
Advanced,Dual benefit,East Asia & Pacific,China,0
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0.00011
EMDE,Dual benefit,Transregional,EMDE,0.00121
Advanced,Dual benefit,Transregional,LDC,0.06319
Advanced,Mitigation,Transregional,Transregional,0.02622
Advanced,Adaptation,Transregional,Advanced,0
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.0965
Advanced,Dual benefit,Western Europe,Advanced,0.00218
Advanced,Dual benefit,Latin America & Caribbean,Advanced,0.00058
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00009
Advanced,Mitigation,South Asia,LDC,0.00404
Advanced,Mitigation,South Asia,EMDE,0.00001
EMDE,Mitigation,East Asia & Pacific,EMDE,0.00021
Transregional,Mitigation,Sub-Saharan Africa,EMDE,0.00012
Unknown,Mitigation,Western Europe,Advanced,0.07025
Advanced,Mitigation,US & Canada,Advanced,0.40119
Advanced,Mitigation,Latin America & Caribbean,EMDE,0
Advanced,Dual benefit,East Asia & Pacific,LDC,0.00002
China,Mitigation,Middle East & North Africa,EMDE,0.00152
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.02437
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.47777
Advanced,Mitigation,South Asia,EMDE,0.17014
EMDE,Dual benefit,South Asia,EMDE,0.16293
China,Mitigation,Middle East & North Africa,EMDE,0.01317
Advanced,Mitigation,East Asia & Pacific,LDC,0.00018
EMDE,Dual benefit,Middle East & North Africa,EMDE,0.1
Advanced,Dual benefit,Western Europe,Advanced,0.04748
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00019
LDC,Mitigation,Sub-Saharan Africa,LDC,0
LDC,Mitigation,Sub-Saharan Africa,EMDE,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0
Advanced,Mitigation,Latin America & Caribbean,Advanced,0
Transregional,Dual benefit,East Asia & Pacific,China,0.00009
China,Mitigation,Latin America & Caribbean,EMDE,0.00003
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00006
Advanced,Mitigation,Western Europe,Advanced,0.00011
Advanced,Mitigation,Latin America & Caribbean,Advanced,0
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.03489
Advanced,Mitigation,US & Canada,Advanced,0.00039
China,Mitigation,East Asia & Pacific,Advanced,0
Advanced,Mitigation,South Asia,EMDE,0.00004
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.11625
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00004
Advanced,Adaptation,South Asia,LDC,0.00445
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00026
LDC,Adaptation,East Asia & Pacific,LDC,0.00008
Advanced,Adaptation,East Asia & Pacific,LDC,0.00037
LDC,Adaptation,Latin America & Caribbean,EMDE,0
EMDE,Adaptation,Latin America & Caribbean,EMDE,0
Advanced,Adaptation,East Asia & Pacific,EMDE,0.00472
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.00998
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.0014
LDC,Adaptation,East Asia & Pacific,China,0.00003
LDC,Adaptation,East Asia & Pacific,EMDE,0.00124
LDC,Adaptation,Sub-Saharan Africa,EMDE,0.00001
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.00084
Advanced,Adaptation,Sub-Saharan Africa,LDC,0
Advanced,Dual benefit,Unknown,Unknown,0.01139
Advanced,Mitigation,East Asia & Pacific,Advanced,0
LDC,Mitigation,Sub-Saharan Africa,LDC,0
Advanced,Mitigation,East Asia & Pacific,Advanced,0
Advanced,Mitigation,Other Oceania,Advanced,0.001
Advanced,Mitigation,Transregional,Advanced,0.00051
Advanced,Dual benefit,Transregional,EMDE,0.03721
Advanced,Dual benefit,Transregional,Advanced,0.00015
Advanced,Mitigation,Transregional,EMDE,0
EMDE,Mitigation,Transregional,LDC,0.00013
Advanced,Dual benefit,Transregional,EMDE,0.02074
Advanced,Mitigation,Transregional,EMDE,0
Advanced,Dual benefit,Transregional,Advanced,0.00256
Advanced,Mitigation,Transregional,EMDE,0
Advanced,Dual benefit,Transregional,Advanced,0.03469
Advanced,Adaptation,Transregional,LDC,0.00003
LDC,Adaptation,Transregional,LDC,0
Advanced,Adaptation,Transregional,Advanced,0
Advanced,Adaptation,Transregional,EMDE,0.0002
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.66277
Advanced,Dual benefit,Central Asia & Eastern Europe,EMDE,0.05663
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.0003
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00131
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00358
Transregional,Mitigation,Middle East & North Africa,EMDE,0.00005
LDC,Mitigation,Latin America & Caribbean,EMDE,0
Advanced,Mitigation,East Asia & Pacific,Advanced,0.72581
Advanced,Mitigation,Latin America & Caribbean,Advanced,0.11422
Advanced,Mitigation,Western Europe,Advanced,1.23613
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00008
Advanced,Dual benefit,Middle East & North Africa,EMDE,0.00146
Advanced,Mitigation,South Asia,EMDE,0.34235
Advanced,Mitigation,US & Canada,Advanced,12.62078
Unknown,Mitigation,Sub-Saharan Africa,LDC,0.0075
Advanced,Mitigation,East Asia & Pacific,Advanced,0
Advanced,Mitigation,South Asia,EMDE,0.00049
Advanced,Mitigation,East Asia & Pacific,EMDE,0.09887
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.012
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.00104
China,Mitigation,Latin America & Caribbean,EMDE,0.02912
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.00002
Advanced,Dual benefit,South Asia,LDC,0.00042
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.00006
Advanced,Mitigation,Middle East & North Africa,EMDE,0.1831
Advanced,Dual benefit,East Asia & Pacific,LDC,0.09945
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.0069
China,Mitigation,Latin America & Caribbean,EMDE,0
Advanced,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00025
Advanced,Mitigation,East Asia & Pacific,LDC,0.00001
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.00008
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.14879
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00047
Advanced,Mitigation,South Asia,EMDE,0.0002
Advanced,Mitigation,East Asia & Pacific,EMDE,0
Advanced,Mitigation,Western Europe,Advanced,0.00009
Advanced,Mitigation,East Asia & Pacific,China,0.00038
China,Mitigation,East Asia & Pacific,EMDE,0.00238
Advanced,Mitigation,Other Oceania,Advanced,0.00182
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.05095
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.02756
EMDE,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00041
Advanced,Adaptation,Latin America & Caribbean,Advanced,0.00002
LDC,Adaptation,South Asia,LDC,0
LDC,Adaptation,Central Asia & Eastern Europe,EMDE,0.00033
Advanced,Adaptation,South Asia,EMDE,0.01605
LDC,Adaptation,South Asia,EMDE,0.00005
EMDE,Adaptation,South Asia,EMDE,0.00134
Advanced,Adaptation,East Asia & Pacific,EMDE,0.00005
China,Adaptation,South Asia,LDC,0.00651
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.02465
China,Adaptation,South Asia,EMDE,0.0006
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.01189
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.00009
EMDE,Dual benefit,Transregional,Advanced,0.00013
China,Adaptation,Transregional,LDC,0.00066
Advanced,Dual benefit,East Asia & Pacific,Advanced,0.00293
China,Mitigation,Latin America & Caribbean,EMDE,0
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.04057
China,Mitigation,South Asia,EMDE,0.00009
Unknown,Mitigation,Western Europe,Advanced,0.07141
Unknown,Mitigation,Western Europe,Advanced,0.01259
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00104
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00041
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.00137
Advanced,Mitigation,Latin America & Caribbean,LDC,0.00592
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,1.11479
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.46113
Advanced,Mitigation,US & Canada,Advanced,1.79683
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.07505
Advanced,Mitigation,Western Europe,Advanced,0.37621
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00399
Advanced,Dual benefit,South Asia,EMDE,0.03517
Advanced,Dual benefit,US & Canada,Advanced,0.01564
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00014
Advanced,Mitigation,Latin America & Caribbean,LDC,0
Transregional,Dual benefit,Middle East & North Africa,EMDE,0.00009
Advanced,Mitigation,East Asia & Pacific,Advanced,0.01293
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.04442
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00674
EMDE,Dual benefit,East Asia & Pacific,LDC,0.00049
EMDE,Mitigation,South Asia,EMDE,0.00005
Advanced,Mitigation,East Asia & Pacific,LDC,0.00003
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00004
Advanced,Mitigation,Middle East & North Africa,EMDE,0.00032
Advanced,Mitigation,Sub-Saharan Africa,LDC,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00001
LDC,Mitigation,Sub-Saharan Africa,LDC,0.00005
EMDE,Adaptation,Latin America & Caribbean,EMDE,0.22113
Advanced,Adaptation,South Asia,EMDE,0.00113
EMDE,Adaptation,Middle East & North Africa,LDC,0.00023
EMDE,Adaptation,Middle East & North Africa,EMDE,0.00021
EMDE,Adaptation,Middle East & North Africa,EMDE,0.00724
China,Adaptation,Central Asia & Eastern Europe,EMDE,0.0001
China,Adaptation,Latin America & Caribbean,EMDE,0.00013
China,Adaptation,Latin America & Caribbean,EMDE,0.00188
China,Adaptation,Latin America & Caribbean,EMDE,0.00098
China,Adaptation,Sub-Saharan Africa,EMDE,0.00008
LDC,Adaptation,East Asia & Pacific,LDC,0
EMDE,Adaptation,East Asia & Pacific,EMDE,0.00001
Advanced,Adaptation,East Asia & Pacific,LDC,0.00046
LDC,Adaptation,Central Asia & Eastern Europe,EMDE,0.00001
Advanced,Adaptation,US & Canada,Advanced,0.66169
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.0451
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.00006
Transregional,Dual benefit,Sub-Saharan Africa,LDC,0
Transregional,Dual benefit,Sub-Saharan Africa,EMDE,0.00001
Advanced,Dual benefit,Transregional,LDC,0.01697
Advanced,Mitigation,Transregional,Advanced,0.00001
LDC,Mitigation,Transregional,EMDE,0
Advanced,Mitigation,Transregional,Advanced,0
Transregional,Mitigation,Transregional,EMDE,0.00001
Advanced,Dual benefit,Transregional,LDC,0.00644
Advanced,Adaptation,Transregional,LDC,0.0016
EMDE,Adaptation,Transregional,LDC,0.00003
Advanced,Adaptation,South Asia,EMDE,0.13447
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.02631
Advanced,Mitigation,South Asia,LDC,0.00157
EMDE,Dual benefit,East Asia & Pacific,LDC,0.00002
China,Dual benefit,Latin America & Caribbean,LDC,0
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0
Unknown,Mitigation,Western Europe,Advanced,0
China,Dual benefit,Middle East & North Africa,EMDE,0.00001
EMDE,Mitigation,East Asia & Pacific,EMDE,3.01122
EMDE,Mitigation,South Asia,LDC,0.00965
Advanced,Mitigation,East Asia & Pacific,Advanced,0
Advanced,Mitigation,Western Europe,Advanced,0.00238
EMDE,Mitigation,East Asia & Pacific,EMDE,0.00035
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.04092
Advanced,Mitigation,Western Europe,Advanced,7.77406
Advanced,Dual benefit,East Asia & Pacific,China,0.00035
Advanced,Dual benefit,Central Asia & Eastern Europe,EMDE,0.005
EMDE,Dual benefit,Latin America & Caribbean,EMDE,0.00664
China,Mitigation,South Asia,LDC,0.00003
China,Mitigation,South Asia,EMDE,0.00035
Advanced,Mitigation,Latin America & Caribbean,LDC,0
China,Mitigation,Sub-Saharan Africa,LDC,0
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.01823
China,Mitigation,Sub-Saharan Africa,EMDE,0.00001
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00001
China,Mitigation,Sub-Saharan Africa,EMDE,0.00005
LDC,Mitigation,Latin America & Caribbean,EMDE,0.00001
LDC,Mitigation,Latin America & Caribbean,EMDE,0.0001
Advanced,Dual benefit,South Asia,EMDE,0.00493
LDC,Adaptation,East Asia & Pacific,LDC,0.00001
Advanced,Adaptation,East Asia & Pacific,LDC,0.00028
Advanced,Adaptation,South Asia,EMDE,0.08916
China,Adaptation,Latin America & Caribbean,EMDE,0.01828
LDC,Adaptation,Middle East & North Africa,EMDE,0
Advanced,Adaptation,South Asia,EMDE,0
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.0056
Transregional,Adaptation,Latin America & Caribbean,EMDE,0.00008
EMDE,Dual benefit,Latin America & Caribbean,EMDE,0.00001
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.0068
Advanced,Mitigation,Transregional,EMDE,0.00013
Advanced,Mitigation,Transregional,EMDE,0.0057
LDC,Mitigation,Transregional,LDC,0.00187
EMDE,Dual benefit,Transregional,LDC,0.00151
Advanced,Mitigation,Transregional,Advanced,0.00123
Transregional,Dual benefit,Transregional,LDC,0.00002
Advanced,Mitigation,Transregional,EMDE,0.07604
Advanced,Mitigation,Transregional,Advanced,0.00001
Advanced,Adaptation,Transregional,EMDE,0
Advanced,Mitigation,Western Europe,Advanced,0.00338
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.01505
Advanced,Mitigation,Sub-Saharan Africa,Advanced,0.00001
Advanced,Mitigation,South Asia,LDC,0.01514
LDC,Dual benefit,East Asia & Pacific,China,0.00003
Advanced,Dual benefit,South Asia,EMDE,0.00342
LDC,Mitigation,Latin America & Caribbean,EMDE,0.00003
EMDE,Mitigation,East Asia & Pacific,EMDE,0.56347
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.12159
China,Mitigation,East Asia & Pacific,LDC,0.00009
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00059
EMDE,Mitigation,Middle East & North Africa,LDC,0.00027
China,Mitigation,South Asia,EMDE,0.00003
Unknown,Mitigation,Central Asia & Eastern Europe,Advanced,0.00009
EMDE,Dual benefit,East Asia & Pacific,EMDE,0.00007
Advanced,Mitigation,Latin America & Caribbean,EMDE,0
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00319
EMDE,Mitigation,Middle East & North Africa,EMDE,0.8683
EMDE,Mitigation,Middle East & North Africa,EMDE,0.58792
EMDE,Mitigation,East Asia & Pacific,EMDE,0.00284
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.01163
EMDE,Mitigation,East Asia & Pacific,EMDE,0.00012
China,Mitigation,Middle East & North Africa,EMDE,0.08331
EMDE,Mitigation,Middle East & North Africa,EMDE,0.01757
China,Mitigation,Middle East & North Africa,EMDE,0.00423
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.1504
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.22483
EMDE,Mitigation,Central Asia & Eastern Europe,Advanced,0.02217
EMDE,Dual benefit,Middle East & North Africa,EMDE,0.46
China,Mitigation,East Asia & Pacific,China,0.00012
Advanced,Mitigation,Latin America & Caribbean,LDC,0
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00517
Advanced,Mitigation,South Asia,LDC,0.00006
China,Mitigation,Sub-Saharan Africa,LDC,0.00036
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00023
EMDE,Mitigation,South Asia,EMDE,0
China,Mitigation,Middle East & North Africa,EMDE,0.00002
China,Mitigation,Middle East & North Africa,EMDE,0.00003
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00012
EMDE,Adaptation,Middle East & North Africa,EMDE,0.3
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0
EMDE,Adaptation,South Asia,LDC,0.00193
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.00106
EMDE,Adaptation,Latin America & Caribbean,LDC,0.00033
China,Adaptation,East Asia & Pacific,EMDE,0.00004
China,Adaptation,Latin America & Caribbean,LDC,0.00024
LDC,Adaptation,Middle East & North Africa,EMDE,0.00001
EMDE,Adaptation,Central Asia & Eastern Europe,EMDE,0.00026
Transregional,Adaptation,East Asia & Pacific,EMDE,0.00001
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.00003
China,Adaptation,Central Asia & Eastern Europe,EMDE,0.00001
Unknown,Adaptation,Central Asia & Eastern Europe,EMDE,0.00046
Advanced,Adaptation,East Asia & Pacific,EMDE,0
Advanced,Adaptation,Sub-Saharan Africa,Advanced,0.00003
Advanced,Adaptation,East Asia & Pacific,LDC,0.00066
LDC,Adaptation,Latin America & Caribbean,EMDE,0
Advanced,Mitigation,Western Europe,Advanced,0.02972
Advanced,Mitigation,East Asia & Pacific,China,0
Transregional,Mitigation,Sub-Saharan Africa,LDC,0.00003
China,Adaptation,Latin America & Caribbean,EMDE,0.00004
Advanced,Dual benefit,East Asia & Pacific,EMDE,0
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00001
Advanced,Mitigation,Transregional,Advanced,0
Advanced,Mitigation,Transregional,LDC,0
LDC,Mitigation,Transregional,LDC,0
Advanced,Adaptation,Transregional,LDC,0.00036
Advanced,Adaptation,Sub-Saharan Africa,LDC,0
Advanced,Mitigation,South Asia,LDC,0.00005
China,Mitigation,South Asia,LDC,0.00005
Advanced,Dual benefit,South Asia,EMDE,0.00152
Advanced,Mitigation,South Asia,LDC,0.00569
Transregional,Mitigation,Latin America & Caribbean,EMDE,0.00012
Transregional,Mitigation,Sub-Saharan Africa,LDC,0.00001
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.2821
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.00116
China,Mitigation,Western Europe,Advanced,0.00009
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.80088
Advanced,Mitigation,Western Europe,Advanced,0.61453
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.21581
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00048
EMDE,Dual benefit,Central Asia & Eastern Europe,EMDE,0.07029
EMDE,Dual benefit,Sub-Saharan Africa,EMDE,0.00074
Advanced,Mitigation,South Asia,EMDE,0.17731
Transregional,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,East Asia & Pacific,LDC,0.00001
Advanced,Dual benefit,Latin America & Caribbean,LDC,0.00004
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00001
Transregional,Dual benefit,South Asia,LDC,0.00003
Advanced,Dual benefit,Western Europe,Advanced,0.55948
Advanced,Mitigation,Sub-Saharan Africa,Advanced,0
Advanced,Mitigation,Middle East & North Africa,EMDE,0.00005
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00197
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.04802
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.03546
Advanced,Dual benefit,East Asia & Pacific,China,0.00013
Advanced,Dual benefit,Latin America & Caribbean,Advanced,0.00002
LDC,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00031
LDC,Mitigation,Latin America & Caribbean,EMDE,0
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.00436
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.02371
EMDE,Dual benefit,East Asia & Pacific,LDC,0.00049
Advanced,Mitigation,Latin America & Caribbean,LDC,0.00032
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00021
Transregional,Dual benefit,Sub-Saharan Africa,LDC,0.00003
LDC,Mitigation,East Asia & Pacific,China,0.00101
Advanced,Adaptation,Western Europe,Advanced,0.00016
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.0229
Advanced,Adaptation,Middle East & North Africa,EMDE,0.00064
Advanced,Adaptation,Middle East & North Africa,EMDE,0.01309
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.01053
Advanced,Adaptation,East Asia & Pacific,LDC,0.00022
Advanced,Adaptation,East Asia & Pacific,Advanced,0.00031
Advanced,Adaptation,East Asia & Pacific,EMDE,0
LDC,Adaptation,Middle East & North Africa,EMDE,0.00021
Advanced,Mitigation,Unknown,Unknown,0.10179
Advanced,Dual benefit,East Asia & Pacific,Advanced,0
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00003
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0.00004
Advanced,Adaptation,Latin America & Caribbean,LDC,0.00003
Transregional,Adaptation,Latin America & Caribbean,LDC,0
Advanced,Dual benefit,Transregional,LDC,0.34331
Advanced,Mitigation,Transregional,LDC,0
Advanced,Mitigation,Transregional,Advanced,0
LDC,Mitigation,Transregional,LDC,0
EMDE,Dual benefit,Transregional,LDC,0.00325
Advanced,Mitigation,Transregional,EMDE,0.00133
Advanced,Dual benefit,Transregional,LDC,0.03559
EMDE,Mitigation,Transregional,Advanced,0
LDC,Mitigation,Transregional,LDC,0.00043
Transregional,Mitigation,Transregional,Advanced,0.26986
LDC,Adaptation,Transregional,LDC,0
China,Adaptation,Middle East & North Africa,LDC,0.00018
Advanced,Dual benefit,South Asia,EMDE,0.00332
Advanced,Dual benefit,Central Asia & Eastern Europe,EMDE,0.0959
Advanced,Mitigation,Western Europe,Advanced,0.00029
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00211
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00002
China,Dual benefit,Latin America & Caribbean,EMDE,0
LDC,Mitigation,East Asia & Pacific,EMDE,0.03274
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00691
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.13249
Transregional,Mitigation,Sub-Saharan Africa,EMDE,0.00006
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.00001
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00009
Advanced,Mitigation,Middle East & North Africa,EMDE,0
EMDE,Mitigation,Central Asia & Eastern Europe,Advanced,0.00016
Unknown,Mitigation,Middle East & North Africa,EMDE,0.00001
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.00358
Advanced,Mitigation,East Asia & Pacific,Advanced,0.05663
Advanced,Mitigation,East Asia & Pacific,Advanced,0
Transregional,Mitigation,East Asia & Pacific,China,0.0031
Advanced,Mitigation,East Asia & Pacific,Advanced,2.63526
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.02095
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.002
LDC,Mitigation,Sub-Saharan Africa,EMDE,0.09853
Advanced,Dual benefit,Western Europe,Advanced,0.00145
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.00004
EMDE,Mitigation,South Asia,LDC,0.00008
Advanced,Mitigation,South Asia,EMDE,0.00004
Advanced,Mitigation,South Asia,EMDE,0.00001
Advanced,Mitigation,East Asia & Pacific,China,0.00014
China,Dual benefit,Latin America & Caribbean,EMDE,0
EMDE,Dual benefit,Latin America & Caribbean,LDC,0
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.04146
Advanced,Dual benefit,Latin America & Caribbean,LDC,0.00031
Advanced,Dual benefit,Latin America & Caribbean,LDC,0.00073
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.01461
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.00865
Advanced,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00181
Advanced,Adaptation,Latin America & Caribbean,Advanced,0.00001
Advanced,Adaptation,Middle East & North Africa,EMDE,0.00031
China,Adaptation,Latin America & Caribbean,LDC,0.00007
China,Adaptation,South Asia,LDC,0.00005
LDC,Adaptation,Latin America & Caribbean,EMDE,0.00175
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0.00389
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0.08299
China,Adaptation,Central Asia & Eastern Europe,EMDE,0.00001
Advanced,Adaptation,South Asia,EMDE,0.00018
LDC,Adaptation,Sub-Saharan Africa,LDC,0
China,Adaptation,Sub-Saharan Africa,LDC,0.00044
EMDE,Adaptation,Sub-Saharan Africa,LDC,0
Advanced,Adaptation,Middle East & North Africa,EMDE,0.04913
EMDE,Adaptation,East Asia & Pacific,LDC,0.00037
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00045
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00001
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00153
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0
China,Adaptation,Sub-Saharan Africa,EMDE,0
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0
Advanced,Dual benefit,Latin America & Caribbean,Advanced,0
Advanced,Dual benefit,Western Europe,Advanced,0.00378
Advanced,Mitigation,Transregional,LDC,0.00025
Advanced,Mitigation,Transregional,LDC,0
Advanced,Mitigation,Transregional,EMDE,0.00003
Advanced,Adaptation,Transregional,LDC,0.00003
Advanced,Adaptation,Transregional,LDC,0.00177
LDC,Adaptation,Transregional,LDC,0.00005
EMDE,Dual benefit,South Asia,EMDE,0.00005
Advanced,Dual benefit,Western Europe,Advanced,0.00227
Advanced,Mitigation,South Asia,LDC,0.00014
LDC,Mitigation,Latin America & Caribbean,EMDE,0
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00022
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00356
China,Mitigation,East Asia & Pacific,EMDE,0.00003
EMDE,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,Latin America & Caribbean,LDC,0.00062
EMDE,Mitigation,Middle East & North Africa,EMDE,0.0014
Unknown,Mitigation,Central Asia & Eastern Europe,Advanced,0.00057
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00021
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.0001
Advanced,Mitigation,South Asia,LDC,0.02932
Advanced,Mitigation,Latin America & Caribbean,EMDE,1.2058
Advanced,Mitigation,Middle East & North Africa,Advanced,0.03337
EMDE,Mitigation,Middle East & North Africa,EMDE,1.37442
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.20272
LDC,Dual benefit,Latin America & Caribbean,EMDE,0
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00028
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00002
Advanced,Mitigation,Middle East & North Africa,LDC,0.00936
China,Mitigation,East Asia & Pacific,LDC,0.00025
EMDE,Mitigation,South Asia,EMDE,0
China,Mitigation,East Asia & Pacific,Advanced,0
Advanced,Mitigation,East Asia & Pacific,China,0.00002
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.00083
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.00731
Advanced,Mitigation,Western Europe,Advanced,1.20124
Advanced,Mitigation,East Asia & Pacific,China,0.00008
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.07985
EMDE,Dual benefit,Sub-Saharan Africa,EMDE,0.00002
